feature,group,encoding
Hold, null,0, movement, 0, hold, 0, 
Compel, null,0, spellcasting,0, force,0,
Transit,null,0, existance,0, step over,0,
Cross, null,0, movement,0, step over,0
Follow, null,0, action, 0, follow,0
Banish, null,0, spellcasting,0, send away,0
Obey, null,0, oath,0, follow,0
#Translate, null,0, speech,0, carry over, 0

#Break here for demo TODO

